GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trutime-management,com.cts.training.exception,TrutimeNotFoundException,0,4,0,0,0,2,0,1,0,1
trutime-management,com.cts.training.exception,ApiErrorResponse,0,56,0,0,0,19,0,10,0,10
trutime-management,com.cts.training.exception,CollateralTypeNotFoundException,0,4,0,0,0,2,0,1,0,1
trutime-management,com.cts.training.exception,EntityExceptionHandler,0,13,0,0,0,3,0,2,0,2
trutime-management,com.cts.training.exception,GlobalExceptionHandler,30,60,0,0,5,13,2,4,2,4
trutime-management,com.cts.training.exception,CustomerTrutimeNotFoundException,0,4,0,0,0,2,0,1,0,1
trutime-management,com.cts.training.model,TimeEntry,338,9,52,0,9,3,45,1,19,1
trutime-management,com.cts.training.model,Employee,320,3,54,0,9,1,45,1,18,1
trutime-management,com.cts.training.model,Employee.EmployeeBuilder,86,0,0,0,1,0,9,0,9,0
trutime-management,com.cts.training.service,TimeEntryService,257,13,22,0,57,5,15,2,4,2
trutime-management,com.cts.training.pojo,CollateralType,24,0,0,0,2,0,1,0,1,0
trutime-management,com.cts.training.pojo,RealEstate,17,0,0,0,4,0,5,0,5,0
trutime-management,com.cts.training.pojo,Collateral,52,0,0,0,9,0,15,0,15,0
trutime-management,com.cts.training.pojo,CashDeposit,24,0,0,0,5,0,7,0,7,0
trutime-management,com.cts.training.controller,TimeEntryController,62,3,8,0,12,1,8,1,4,1
trutime-management,com.cts.training,TrutimeManagementApplication,5,16,0,0,2,3,1,2,1,2
trutime-management,com.cts.training.dto,SwipeRequest,24,0,0,0,10,0,7,0,7,0
trutime-management,com.cts.training.dto,TimeEntryDTO,52,0,0,0,22,0,15,0,15,0
trutime-management,com.cts.training.dto,TopUpRequest,17,0,0,0,7,0,5,0,5,0
